nickname,season,matches_played,wins,losses,winrate,avg_finish_ms,best_finish_ms,consistency_score,forfeit_rate,elo_at_season_end
BadGamer,7,78,49,29,0.6282051282051282,545983.1224489796,33238.0,0.7221964232416183,0.3974358974358974,2408.0
BeefSalad,7,143,72,71,0.5034965034965035,574233.5277777778,166365.0,0.7926299685794181,0.2517482517482518,2097.0
bing_pigs,7,105,64,41,0.6095238095238096,540381.203125,127041.0,0.7696596513460177,0.1523809523809524,2409.0
doogile,7,97,61,36,0.6288659793814433,520414.9016393443,181397.0,0.7433028824015409,0.17525773195876287,2385.0
Feinberg,7,74,46,28,0.6216216216216216,582253.8260869565,117058.0,0.8000788864848277,0.0945945945945946,2462.0
Infume,7,127,65,62,0.5118110236220472,583462.2615384615,423597.0,0.8617432716105417,0.023622047244094488,2397.0
lowk3y_,7,118,85,33,0.7203389830508474,555230.4941176471,200877.0,0.8071329490979506,0.13559322033898305,2387.0
priffie,7,88,51,37,0.5795454545454546,575616.7843137255,7524.0,0.6244561142604566,0.17045454545454544,
retropog,7,69,40,29,0.5797101449275363,545105.9,88148.0,0.6984224190016737,0.2318840579710145,1977.0
r7sD4fH6jK0wY5uB,7,99,51,48,0.5151515151515151,552975.1960784313,12380.0,0.6733224144406793,0.29292929292929293,2008.0
hackingnoises,7,92,46,46,0.5,528504.3913043478,123886.0,0.7655573086655593,0.2391304347826087,2480.0
Oxidiot,7,50,29,21,0.58,597015.7586206896,158710.0,0.7583051474113236,0.08,2200.0
silverrruns,7,64,38,26,0.59375,613146.6315789474,151578.0,0.5830802449822428,0.140625,2260.0
7rowl,8,84,54,30,0.6428571428571429,583323.9629629629,276401.0,0.7979536902865431,0.25,2273.0
Aquacorde,8,75,46,29,0.6133333333333333,550680.0652173914,173643.0,0.6914312216241709,0.17333333333333334,2252.0
BeefSalad,8,112,58,54,0.5178571428571429,532254.6034482758,194797.0,0.7199672425362628,0.25,2097.0
bing_pigs,8,85,53,32,0.6235294117647059,521257.2641509434,98657.0,0.7066874236421117,0.17647058823529413,2409.0
DARVY__X1,8,104,58,46,0.5576923076923077,536938.7413793104,96283.0,0.7420694642171517,0.20192307692307693,2304.0
doogile,8,95,36,59,0.37894736842105264,534339.75,188637.0,0.7935027808318331,0.07368421052631578,2385.0
edcr,8,132,57,75,0.4318181818181818,536145.350877193,134944.0,0.7767658110475536,0.20454545454545456,2600.0
Feinberg,8,90,55,35,0.6111111111111112,903687.1636363637,279909.0,-0.06564793596721374,0.24444444444444444,2462.0
Infume,8,118,76,42,0.6440677966101694,495953.1710526316,7689.0,0.7503150892449882,0.19491525423728814,2397.0
lowk3y_,8,62,49,13,0.7903225806451613,550200.4693877551,328196.0,0.8175051788869887,0.24193548387096775,2387.0
